clean,hashtags,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust
busy day time home relax still feeling breathless voiceathlete dystonia dysphonia spasmodicdysphonia restvoice sleep,"['relax', 'breathless', 'voiceathlete', 'dystonia', 'dysphonia', 'spasmodicdysphonia', 'restvoice', 'sleep']",1,0,0,0,1,0,0,0,1,0,0
justicewillett lord understand tragedy best bring good grom comfort mourn amen,[],0,0,0,0,0,0,1,0,0,0,0
learn live life regardless circumstances amp let life leave purpose growth process confident happy joy,"['purpose', 'Growth', 'process', 'confident', 'happy', 'joy']",0,0,0,0,1,0,1,0,0,0,0
emmajckson awe thank,[],0,0,0,0,1,1,1,0,0,0,0
meet interview recognise streets persongesturingok even know name facewithtearsofjoy,[],0,1,0,0,1,0,0,0,0,1,1
hours \n4189 words\n1 story\n amwriting horror publishorperish,"['amwriting', 'horror', 'publishorperish']",0,0,1,1,1,0,0,0,1,0,0
sleeping past noon look window see hotel hot tub bliss,['bliss'],0,0,0,0,1,0,0,0,0,0,0
lythero hugs hoping doom shows insult everyone,[],1,1,0,0,0,0,1,0,1,0,1
got free drpepper vending machine awesome,['awesome'],0,0,0,0,1,0,0,0,0,1,0
point tell follow people politics twitter need new friends wheresthefunny depressing,"['wheresthefunny', 'depressing']",0,0,0,0,0,0,0,1,1,0,0
tipoftheday distracted ones accuse right mission youcontinue living pleasing,[],0,0,0,0,1,1,1,0,0,0,0
worry never robs tomorrow sorrow saps today strength crown faith positive motivation,"['Worry', 'sorrow', 'strength', 'faith', 'positive', 'motivation']",0,0,0,0,1,0,1,1,1,0,0
want digital art bad dad let use ipad till exams facewithtearsofjoy,[],0,1,0,0,0,0,0,0,1,0,0
today gon terrible feel,[],1,1,1,1,0,0,0,1,0,0,0
grinbins could force give money grinningface,[],1,0,1,0,1,0,0,0,0,0,0
﻿2206when said fear allah led arrogance crime enough hell,[],1,0,0,1,0,0,0,1,1,0,0
h0lliejburrows congrats beautiful faceblowingakiss,[],0,0,0,0,1,1,1,0,0,0,0
worst thing happened flying 16h delay left phone terminal wallet plane nightmare,['nightmare'],1,0,1,1,0,0,0,0,1,0,0
passed bus advert paw patrol live need therapy thinking taking miss,[],0,0,0,0,1,0,0,0,1,0,0
phoenixrally deplorables insult denigrate johnmccain struggles treatment glioblastoma impeach45 incites,"['PhoenixRally', 'Deplorables', 'JohnMcCain', 'glioblastoma', 'impeach45']",1,1,1,0,0,0,0,0,0,0,0
shibexd happy birthday one favorite content creator hope wonderful birthday partypopper partypopper partypopper partypopper partypopper partypopper partypopper partypopper partypopper partypopper partypopper partypopper partypopper partypopper partypopper,[],0,0,0,0,1,1,1,0,0,0,1
happy birthday zanele \ni hope wonderful day beatingheart xanradebe confettiball partypopper balloon,[],0,0,0,0,1,1,0,0,0,0,0
every day always get bit sad finished lunch,[],0,0,0,0,0,0,0,1,1,0,0
coming shortly wetindeyhappen satire laughs local pidgin mctalkindrum funnyudeme staytuned premiumtalkstation,"['WetinDeyHappen', 'Satire', 'laughs', 'local', 'Pidgin', 'stayTuned', 'premiumTalkStation']",0,0,0,0,1,0,0,0,0,0,0
horrid,[],1,0,1,1,0,0,0,0,0,0,0
domconlon amazing big fan amp life restorations give photographs awe inspiring,[],0,0,0,0,1,0,1,0,0,1,0
nothing beautiful smile struggled tears,"['beautiful', 'smile']",0,0,0,0,1,1,1,0,0,0,0
wait take family pictures wearyface purpleheart purpleheart excited start fun things babies familymanwomangirl,[],0,0,0,0,1,1,1,0,0,0,0
past test exam cdl achieved sadbutrelievedface,[],0,0,0,1,1,0,1,0,1,0,0
much see world full glee,[],0,0,0,0,1,0,1,0,0,0,0
delete facebook much rollingonthefloorlaughing,[],1,0,1,0,0,0,0,0,1,0,0
michaelsloan87 skyfootball disappointment actually new club sponsor facewithtearsofjoy,[],0,0,0,0,1,0,0,1,1,0,0
feel snapchat new feature snapmap thumbsdown thumbsup questionmark twitterpoll polls vote poll snapchat twitter tech technology,"['SnapMap', 'twitterpoll', 'polls', 'vote', 'Poll', 'Snapchat', 'twitter', 'tech', 'technology']",0,1,0,0,1,0,0,0,0,0,0
think yondu amp crew rocket amp groot 700 jumps ego planet start laughing,[],0,0,0,0,1,0,1,0,0,0,0
wow snap astonishedface barchart chartdecreasing downarrow cnnmoney,"['snap', 'cnnmoney']",0,0,0,0,1,0,0,0,0,1,0
tikitakaconnor eduardo without injury honestly amazing like sad looked right light injuries,[],0,0,0,0,0,0,0,0,1,0,0
rgupdate tried english hospital food yak gross,"['yak', 'gross']",1,1,1,0,0,0,0,0,1,0,0
the point living optimist foolish enough believe best yet come peter ustinov optimism quote,"['optimism', 'quote']",0,0,0,0,1,0,1,0,0,0,0
chasejarvis honestly hearing kinda imprinted mind thanks redheart victoryhand strategy,['Strategy'],0,0,0,0,1,0,1,0,0,0,0
bernadetteally cute smile,[],0,0,0,0,1,1,0,0,0,0,0
twitter days massive critical debate people like annoying depressing dull expressionlessface,"['Twitter', 'annoying', 'depressing', 'dull']",1,0,1,0,0,0,0,1,1,0,0
shanedawson jeffreestar jessbuttafuoco offense but jeffee looks like pink demon facewithtearsofjoy,[],0,1,1,0,1,0,0,0,0,0,0
bloggerlinds wishing joy day joy happiness empowerri,"['joy', 'happiness', 'empowerri']",0,0,0,0,1,1,1,0,0,0,1
wtf wonderful idea \nyou bought tweets likes pretty pointless bye bye twat,"['wtf', 'wonderful', 'bye', 'bye', 'Twat']",1,0,1,0,0,0,0,0,0,0,0
softytwt bby today okay emailed design firms internship nervous day,[],0,1,0,1,1,0,0,0,0,0,0
suddenly dreams mine coming true happy,['happy'],0,0,0,0,1,0,1,0,0,0,0
lucybeecoconut make remover insect sting relief,[],0,0,0,0,1,1,0,0,0,0,0
students really raging tuition collection freeeducationnow,['freeeducationnow'],1,0,1,0,0,0,0,0,1,0,0
girlposts matdtaylor actually annoyed get facewithtearsofjoy,[],1,0,1,0,0,0,0,0,0,0,0
donaldjtrumpjr thinks oliver north defense insulates potus make realdonaldtrump look inept nytimes,['NYTimes'],1,0,1,0,0,0,0,0,0,0,0
really afraid find rather annoying amp amusing smilingfacewithsunglasses winkingfacewithtongue rollingonthefloorlaughing facewithtearsofjoy facewithtearsofjoy,"['annoying', 'amusing']",1,0,1,0,0,0,0,0,0,0,0
wonderful thing able start day laughter,[],0,0,0,0,1,1,1,0,0,0,0
theo comment end facewithtearsofjoy one tyla horrid loveisland,"['horrid', 'loveisland']",1,0,1,1,0,0,0,0,0,0,0
hollloman nessababbby ajvannozzi97 half set twins resent,[],1,0,0,0,0,0,0,0,0,0,0
let hope scan gives answers lump today nervous,['nervous'],0,0,0,1,0,0,0,0,1,0,0
pre happy arcadian run beat people scared,[],0,0,0,1,1,0,0,0,0,0,0
frustration dream left utterly fking furious plus side angry could sleep wrote 1500 words minus side still raging,[],1,0,1,0,0,0,0,0,0,0,0
wtf shawty ass facewithsteamfromnose,[],1,0,1,0,0,0,0,0,0,0,0
success accomplish life inspire others inspiration inspire,"['inspiration', 'inspire']",0,1,0,0,1,0,1,0,0,0,0
start letting everything til far away,[],0,0,0,0,0,0,1,0,1,0,0
cmdrhadfield cnn wolf blitzer calls american astronaut correct dissapointed,['dissapointed'],0,0,1,0,0,0,0,1,1,0,0
danawhite crook joke thief bully wanker dirty richbutgarbo,"['joke', 'thief', 'bully', 'wanker', 'dirty', 'richbutgarbo']",1,0,1,0,0,0,0,0,0,0,0
okay btstwt fun change layout back something goofy domestic usual pls intimidated,[],1,0,0,0,1,0,0,0,0,0,0
ruthharvey happy bday ruth hope amazing day heartwitharrow heartwitharrow,[],0,0,0,0,1,1,0,0,0,0,0
jamie93lee upset cryingface,[],1,0,0,0,0,0,0,1,1,0,0
glad kids fuck blac youngsta nigga terrible community,[],1,0,1,0,0,0,0,1,0,0,0
made mind \nmake new start,[],0,0,0,0,1,0,1,0,0,0,0
hey nhsengland imagine blue lighted hospital unable breathe dumped cubicle seen hours horrendous,['horrendous'],1,0,1,1,0,0,0,0,1,0,0
washingtonpost silvajanes awful,[],1,0,1,0,0,0,0,0,0,0,0
clapping cheering teams,[],0,0,0,0,1,0,1,0,0,0,0
peoples thought process alarming nasty common women bed another women man without conscience,[],1,0,1,0,0,0,0,1,0,0,0
eben4u stayed makes appreciate love worshiping all want worship,['stayed'],0,0,0,0,1,1,1,0,0,0,0
love seeing yeahlizzy reminds one miserable work grinningfacewithsweat,[],0,0,0,0,1,1,1,0,0,0,0
dearly beloved avenge rather give place unto wrath written vengeance mine romans12v19,"['Dearly', 'beloved', 'wrath', 'written', 'Vengeance', 'mine', 'Romans12v19']",0,0,0,0,0,0,1,0,0,0,0
essexmdo long term start club younger children aim keep engaged become teens takeoverchat,['TakeoverChat'],0,1,0,0,1,0,1,0,0,0,0
damilolaourlovedboy upsetting cryingface cryingface people want hurt others cruel world live heartbreaking,"['DamilolaOurLovedBoy', 'heartbreaking']",1,0,1,0,0,0,0,1,1,0,0
think sleep favorite get dark maybe insomniac,[],0,0,0,0,1,1,1,0,1,0,0
when mind denied emotional sting losing never figures win jonah lehrer,[],0,0,0,0,0,0,0,0,0,0,0
dirty chai tea rumchata hits spot gloomy tuesday morning smilingfacewithsmilingeyes,[],0,0,0,0,1,0,1,0,0,1,0
hes even scared anymore facewithtearsofjoy,[],0,0,1,1,0,0,0,0,0,0,0
amber02150 good morning happy winter day,[],0,0,0,0,1,1,1,0,0,0,0
love dark gurl wit juicy booty,[],0,0,0,0,1,1,1,0,0,0,0
boyfriend whole world loudlycryingface,[],0,0,0,0,1,1,1,0,0,0,1
amyjosmyth ooc thing holds grudge like mad,['OOC'],1,0,1,0,0,0,0,0,0,0,0
enough marmite jar work slice toast wearyface wearyface unhappy,['unhappy'],0,0,0,0,0,0,0,1,1,0,0
conflicting scents house cinnamon sponge cooling tamarillo chutney cooking sweet spicy homemade delicious,"['sweet', 'spicy', 'homemade', 'delicious']",0,1,0,0,1,0,1,0,0,0,0
never thought would say really miss todd sadbutrelievedface,[],0,0,0,0,0,0,0,1,1,0,0
apinknumjoo hello namjoo unnie welcome paradox twohearts deeply sorry late greeting sadbutrelievedface chaey wishing pleasant,[],0,0,0,0,1,1,0,0,1,0,0
strange juxtaposition emotions sense euphoria sense despair,[],0,0,0,1,1,0,0,0,1,0,0
always getting receiving already given receive joy made available jesus,['jesus'],0,0,0,0,1,0,1,0,0,0,1
cex waste time nothing gets done using awful,['awful'],1,0,1,0,0,0,0,0,0,0,0
perks shit lost friend somewhere along bitterness,[],1,0,1,0,0,0,0,0,1,0,0
kevinhearne actually first guess thought dark irish man bce thanks clearing,[],0,0,0,0,1,0,1,0,0,0,0
peplamb stevenfurtick comfort mourn console mourn zion give beauty ashes oil joy for…,"['comfort', 'mourn', 'mourn', 'Zion', 'beauty', 'ashes', 'oil', 'joy']",0,0,0,0,1,0,0,0,0,0,0
delight,[],0,0,0,0,1,0,1,0,0,0,0
better party labour lies intimidation threats amp questionable activities yet somehow victims unbelievable,"['Labour', 'lies', 'intimidation', 'threats', 'victims']",1,0,1,0,0,0,0,0,0,0,0
whitejennyb emreuslu jenny white dumbest trying get lost,[],1,0,1,0,0,0,0,0,0,0,0
alicet120 shaneywaney1 shaneywaney1 horrible non gender binary boy fangirl mediocre singers cant even support,[],1,0,1,0,0,0,0,0,0,0,0
brown envelopes induce panic posttruth,['posttruth'],0,0,0,1,0,0,0,0,0,0,0
man feel like crap today anxiousfacewithsweat,[],1,0,1,0,0,0,0,0,1,0,0
fuck saw game thrones spoiler snapchat havent saw yet middlefingerlightskintone middlefingerlightskintone middlefingerlightskintone middlefingerlightskintone middlefingerlightskintone arsehole,['arsehole'],1,0,1,0,0,0,0,0,0,0,0
golden temple beautiful smilingfacewithhearteyes,[],0,0,0,0,1,0,1,0,0,0,0
caleb nightmare zombies dream freedom,[],0,0,0,1,0,0,1,0,0,0,0
get trouble codynolove gordonramsay show ufc215 try find rogers facewithtearsofjoy weeks excitement,"['UFC215', 'excitement']",0,1,0,1,1,0,1,0,0,0,0
nomore drinking relievedface facewithtearsofjoy serious,['serious'],0,1,0,0,1,0,1,0,0,0,0
infographicksa ksamofa doha capital,['Doha'],0,0,0,0,0,0,0,0,0,0,0
depressed hypo manic lonely bored nofriends needfreinds friend feel chatty wan help ppl makefriend moms,"['depressed', 'hypo', 'manic', 'lonely', 'bored', 'nofriends', 'needfreinds', 'friend', 'makefriend', 'dm', 'moms']",0,0,0,0,0,0,0,0,1,0,0
cause knew could side pass food scare haha end choice,[],0,0,0,1,0,0,0,0,0,0,0
spotted fed got ejaculating live bees bees angry,"['Ejaculating', 'angry']",1,0,1,0,0,0,0,0,0,0,0
157gale gatordavesec thrilled committed nervous whole time nsd kid cali makes nervous,[],0,1,0,1,1,0,0,0,0,0,0
soon trailer likes views grinningsquintingface,[],0,1,1,0,1,0,0,0,0,0,0
smilejamtvj clarkecooper dahliaharris looking fab today pleasing artistic eye girlpowertuesday,['GirlPowerTuesday'],0,0,0,0,1,0,0,0,0,0,0
also 80s megamix mega tonight,[],1,0,0,0,1,0,0,0,1,0,0
know chickfila cow day thing ended 730 showed min late looking like cow sandwich sadness grinningfacewithsweat grinningfacewithsweat grinningfacewithsweat,['sadness'],0,0,0,0,0,0,0,1,1,0,0
izzyaline burning damn,[],1,0,1,0,0,0,0,0,0,0,0
depressed today bitter sweet watching kids back school made really miss babies broke backtoschool2017,"['depressed', 'backtoschool2017']",0,0,0,0,0,0,0,1,1,0,0
leviticus 1914\nyou shall curse deaf put stumbling block blind shall fear god,"['deaf', 'block', 'blind', 'fear', 'God']",0,0,0,1,0,0,1,0,0,0,1
good tuesday morning person makes someone smile thought you\n\nbe blessed blessing bbabab,['BBaBaB'],0,0,0,0,1,0,1,0,0,0,0
thinking fergie music milf seriously mother someday milf lmao empowerment adorable,"['lmao', 'Empowerment', 'adorable']",0,0,0,0,1,0,0,0,0,0,0
sad upset,[],1,0,0,0,0,0,0,0,1,0,0
united fan boys cover eyes horror,[],1,0,1,1,0,0,0,0,0,0,0
teacher attempting teach without inspiring pupil desire learn hammering cold iron horacemann,"['teacher', 'inspiring', 'pupil', 'desire', 'HoraceMann']",0,0,0,0,0,0,1,0,0,0,0
everyone know died treaty involvement drawing get enormous amount fury,[],1,0,1,0,0,0,0,1,1,0,0
kind fucked brother join police academy and happy one,[],1,0,1,0,0,0,0,1,1,0,0
mom work discounted riot fest tickets 1473 days saddened,['saddened'],0,0,1,0,0,0,0,1,1,0,0
time last year pissed top eiffel tower today manhole rain happy anniversary jordannea11 faceblowingakiss heartsuit,[],1,0,1,0,1,1,0,0,1,0,0
mafiaworldmario stg everybody say facewithtearsofjoy tell got huff mad shit,[],1,0,1,0,1,0,1,0,0,0,0
danceonfox get rudely interrupted worst thing ever imaginable ugggg irritated,['irritated'],1,0,1,0,0,0,0,0,0,0,0
unesco remember spread hatred fakenews internet abuse hashtag10 spreading arabnationalism,"['hatred', 'fakenews', 'Hashtag10', 'ArabNationalism']",1,0,1,1,0,0,0,0,0,0,0
duane allman died learned appreciate stevie ray vaughan true story blues legends,"['blues', 'legends']",0,1,0,0,0,0,1,0,0,0,1
activehours need someone reply back immediately happy getting timely responses app help,['help'],1,0,1,0,0,0,0,0,1,0,0
million acres live reason idaho residents fear wolves help prevent becoming endangered,"['Idaho', 'fear', 'wolves', 'Help', 'endangered']",0,0,0,1,0,0,0,0,0,0,0
moon tonight facewithopenmouth beautiful,['beautiful'],0,0,0,0,1,0,1,0,0,0,0
people dread snapchat streak cos death threats send save,[],1,0,1,1,0,0,0,0,0,0,0
kyliespearsxo happy birthday beautiful kylie huggingface kissingfacewithsmilingeyes redheart wrappedgift birthdaycake clinkingglasses,['beautiful'],0,0,0,0,1,1,0,0,0,0,0
next time lagos gate crash somebody owambe dressed lace gele eat amala shake waist expressionlessface,[],0,0,1,0,1,1,0,1,0,0,0
shoe0nhead obscuredleg wanted wish two happy tuesday smilingfacewithsmilingeyes,[],0,0,0,0,1,1,1,0,0,0,0
rizikxo estherolo corinnetuc17 ing reasonings behind,[],0,0,0,0,0,0,0,0,0,0,0
fuck nigga feelings till find nigga feeling grinningsquintingface,[],0,0,0,0,1,0,0,0,0,0,0
bruhhh facewithrollingeyes armon cute therealaandt chill ughhhhh smilingfacewithhearteyes smilingfacewithhearteyes smilingfacewithhearteyes smilingfacewithhearteyes attractive whyamisingle houston,"['attractive', 'whyamIsingle', 'Houston']",0,1,0,0,1,1,1,0,0,0,0
lighter note\ngg nkaissery amp total man rate jubilee losing votes worriedface,[],0,0,0,0,0,0,0,0,1,0,0
hey buddy came feed venus flytrap —sue s1e13 glee,['glee'],0,0,0,0,1,0,0,0,0,0,0
woke still hardly believing happened last night anxiousfacewithsweat,[],0,0,0,0,1,0,0,0,1,1,0
eclipse angelic foldedhandsdarkskintone blessing,['blessing'],0,0,0,0,1,0,1,0,0,0,0
something awestruck today laughing non subtitle korean variety show,['awestruck'],0,0,0,0,1,0,1,0,0,1,0
ash weirdest laughter,[],0,0,0,0,1,0,0,0,0,1,0
terrorist given funeral kashmir per religion 1000s came terror religion religionofpeace,"['terrorist', 'Kashmir', 'religion', 'terror', 'ReligionOfPeace']",1,0,1,1,0,0,0,0,0,0,0
remember everything lost gained something else without dark would never see stars,"['lost', 'dark', 'stars']",0,0,0,0,1,0,1,0,0,0,0
bentleysystems hast thou done thy configurations despair,['despair'],0,0,1,0,0,0,0,0,1,0,0
justherrick iphonenews piece crap,['crap'],1,0,1,0,0,0,0,0,0,0,0
counting queensland stateoforigin broncos maroons blues nswblues qld,"['StateOfOrigin', 'Broncos', 'maroons', 'blues', 'NSWBlues', 'qld']",0,1,0,0,1,0,0,0,0,0,0
bbcbreaking mistrust medical profession cover important patients,[],1,0,1,0,0,0,0,0,1,0,0
imkbrshanthnu happy birthday buddy smilingface wishing lots smiles amp success cherryblossom ameen smilingface bday 3days smilingfacewithhearteyes yaayyaaa womandancing,"['smiles', 'success', 'ameen', '3days']",0,0,0,0,1,1,1,0,0,0,0
since last episode fight way airing tonight amp taekook probably watch together yall think might take revenge,[],1,1,0,0,0,0,0,0,0,0,0
best girlfriend world smilingfacewithhearteyes blessed,['blessed'],0,0,0,0,1,1,1,0,0,0,0
bravotv way watch nyc million dollar listing amp filter fredrikeklundny episodes primadonna duckface tantrum,"['primadonna', 'duckface', 'tantrum']",1,1,1,0,0,0,0,0,0,0,0
duarteamanda theseantcollins lmao lack self awareness last tweet genuinely awe inspiring,[],0,1,0,0,0,0,1,0,0,0,0
paid arsehole couple new found glory tickets gon great start birthday weekend oncomingfist,[],1,0,0,0,1,0,1,0,0,0,0
fierzaarbx fierzaa hope friend roblox btw love kat username usatylerx grinningface,[],0,0,0,0,1,1,1,0,0,0,0
kermodemovie shall mooning cheerfully arrives although probably president,[],0,0,0,0,1,1,1,0,0,0,0
yall understand woman wrath real rose blackheart,[],1,0,1,0,0,0,0,0,0,0,0
what smiling like that\ndominos sent coupon grimacingface,[],0,0,0,0,1,0,1,0,0,0,0
good times never fade away smile,['smile'],0,0,0,0,1,1,1,0,0,0,0
much caffeine dyyyying jitters shakes paranoia heartbeat1000 hotbeverage brokenheart,"['jitters', 'shakes', 'paranoia', 'heartbeat1000']",0,0,0,1,0,0,0,0,0,0,0
rksallycat82 planning september smilingfacewithsmilingeyes,[],0,0,0,0,1,0,0,0,0,0,0
wow included playlist awesome,['awesome'],0,0,0,0,1,0,0,0,0,0,0
gunghoindallas proverbs 813\nthe fear lord hate evil pride arrogance evil way perverse mouth,"['fear', 'Lord', 'evil', 'arrogance', 'evil', 'way', 'mouth']",1,0,1,1,0,0,0,0,0,0,0
ryanair site crashes everytime try book help tell nothing wrong amp hang furious helpless simoncalder,"['furious', 'helpless']",1,0,1,0,0,0,0,0,1,0,0
time burst burstcoin fork,"['burst', 'burstcoin']",0,0,0,0,1,0,1,0,0,0,0
paypaluk well amp truly done day holiday fuming,['fuming'],1,0,1,0,0,0,0,0,1,0,0
irritated neutralface,[],1,0,1,0,0,0,0,0,0,0,0
hatzepueh call creepy handsome adorable nicest shark ever loudlycryingface zora buuuuuut looks like shark,[],1,0,1,0,0,0,0,0,1,0,0
smile always make easy possible get best orthodontic care matter need,['smile'],0,0,0,0,1,0,1,0,0,0,0
excepted eclipse make believe omniscience force dissapointed,['dissapointed'],0,0,0,0,0,0,0,0,1,0,0
arunjaitley pls action immediately terror otherwise innocent people die,[],0,0,0,1,0,0,0,0,0,0,0
high bond unrelated offense cops fbi digging property fears end well families,[],0,0,0,1,0,0,0,0,0,0,0
loveisland loveisand next time dumping get olivia dreadful good chris,"['loveisand', 'Olivia', 'dreadful']",1,0,1,0,0,0,0,0,0,0,0
fucking fuming understatement,[],1,0,0,0,0,0,0,0,0,0,0
sound rain pretty peaceful annoyed mood grinningfacewithsweat,[],1,1,1,0,1,0,1,0,0,0,0
making dark darker shining light jesus dark\n jesus light shine,"['Jesus', 'light', 'shine']",0,0,0,0,0,0,1,0,0,0,0
damn lost keys forgot get garage opener,[],1,0,0,0,0,0,0,0,1,0,0
look honest good wonderful future awaits love peace,"['Look', 'those', 'honest', 'good', 'wonderful', 'future', 'awaits', 'love', 'peace']",0,0,0,0,1,1,1,0,0,0,0
kylegriffin1 outrage police\ntelling woman looks nice age apparently sexist\nyou fakenews people crazy,"['outrage', 'FakeNews', 'crazy']",1,0,1,0,0,0,0,0,1,0,0
well day started great upsidedownface mocha machine working mcdonalds,[],1,0,1,0,1,0,0,0,1,0,0
jihnwi literally name word close prostitutes oomf anxiousfacewithsweat,[],1,0,0,0,0,0,0,0,1,0,0
tgowdysc wonder mess noloyalty youcaved,"['NoLoyalty', 'youcaved']",1,0,1,0,0,0,0,1,1,0,0
your marker teacheri looked burst laughing swear kids never take seriously womanfacepalminglightskintone,[],0,0,0,0,1,0,0,1,0,0,0
thealexpeace bad think may come back haunt,[],0,0,0,1,0,0,0,0,0,0,0
vesciodiana forgot laughter well redheart redheart redheart,['laughter'],0,0,0,0,1,1,1,0,0,0,0
nervous scared jfnsnzmz,[],0,0,0,1,0,0,0,1,0,0,0
buy whole new computer,[],1,0,0,0,0,0,0,0,1,0,0
seriouslooking folks suffer unused smile muscles \n\n behappy hatersgonnahate,"['behappy', 'hatersgonnahate']",0,0,0,0,1,0,1,0,0,0,0
need help guys smilingfacewithsmilingeyes survey friend,[],0,1,0,0,1,0,0,0,0,0,0
beautiful falter,[],0,0,0,0,1,1,1,0,0,0,0
allyiahsface page full make valid question probably prefer smashed dashed,[],1,0,1,0,0,0,0,0,0,0,0
chanlfc10 paulrule nuttall1878 deadlinedaylive everton fuming hijacked £8m move relegated full back poutingface,[],1,0,1,0,0,0,0,0,0,0,0
aglyndwr teapainusa know sentence start look like high school punk would start threat,[],1,0,1,1,0,0,0,0,0,0,0
classes today already,[],0,0,0,0,1,0,1,0,0,0,0
chrisyour sad ultimately apparently supported completely mostly working,[],0,0,0,0,1,0,1,0,1,0,0
stage horror reminiscent rio oylmpics route horror weather horror crash horror abandon horrors,[],0,0,0,1,0,0,0,0,0,0,0
happy birthday panderific panda theorionsound hope amazing day oli love much redheart ️ur vids make grinningfacewithbigeyes,[],0,0,0,0,1,1,0,0,0,0,0
lauramuiruns diamondleague loved cheering kids,[],0,0,0,0,1,1,1,0,0,0,0
look upon mine affliction amp ​​​ pain​ amp forgive sins 2518,"['affliction', 'pain']",0,0,0,0,0,0,0,0,1,0,0
smile make life beautiful,"['life', 'beautiful']",0,0,0,0,1,1,1,0,0,0,0
know next life thinkingface lost,['lost'],0,0,1,0,0,0,0,1,1,0,0
hey everything gon okay may god kiss weary face everything gon alright let peace tonight,[],0,0,0,0,1,1,1,0,0,0,0
therock presidential run bad appearance baywatch neither party need fear run never get back crap,"['Baywatch', 'crap']",1,0,1,0,0,0,0,0,0,0,0
comradeislaboy hahahahaha hornet nest let sting,[],1,0,0,0,1,1,0,0,0,0,0
work going kill oclock nowhere near worriedface,[],0,0,0,1,0,0,0,0,1,0,0
movies towatch list spiderman homecoming war planet apes smilingfacewithhearteyes excited movies,"['excited', 'movies']",0,1,0,0,1,0,1,0,0,0,0
nigga write talking bout dreamt cool hope haunting nightmare,[],0,0,0,1,1,0,0,0,0,0,0
good morning tuesday crap today please grinningfacewithbigeyes tantrums toddler cuddly struggles pma,"['tantrums', 'toddler', 'cuddly', 'struggles', '3', '10', 'PMA']",0,0,0,0,0,0,1,0,0,0,0
people like saleem sheikh humanity wins terrorism hatred amarnathyatraattacked,['AmarnathYatraAttacked'],0,0,0,0,1,0,1,0,0,0,1
policecarlight alle bikepeople wien take care extrem viele kontrollen momentan insbesondere ring usw bicycle schwarzkappler reflektor,"['wien', 'schwarzkappler', 'reflektor']",0,0,0,0,0,0,0,0,0,0,0
people always afraid stodgy squares would kill rock roll legitimate threat ever child choruses,[],1,0,1,1,0,0,0,0,0,0,0
badpostyoongi know fact either ignore fact tiff change cindy background,[],0,1,0,0,0,0,1,1,1,0,0
coffee floor soul grew furious stillness broken little,[],1,0,1,0,0,0,0,0,1,0,0
couldnt get bed look mirror thankful4all support recieved imwakinguphappynot dreading theday,[],0,0,0,0,1,0,1,0,0,0,0
uncommon people spend whole life waiting start living eckhart tolle happiness live,"['people', 'happiness', 'live']",0,0,0,0,1,0,1,0,0,0,0
freebeacon shows desperate dems always ignore facts hurl scare tactics,[],0,0,1,1,0,0,0,0,0,0,0
love flats description marlie packer default setting combat mode facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy brilliant davidflatman marliepacker wrwc2017,"['brilliant', 'WRWC2017']",0,0,0,0,1,1,0,0,0,0,0
literally love paul much bb19 pissed facewithtearsofjoy,"['BB19', 'pissed']",1,0,1,0,0,1,0,0,0,0,0
sit back watch amp listen every thedemocrats amp dnc member quickly learn victimhood racism amp hatred woke,"['Victimhood', 'racism', 'hatred', 'WOKE']",1,0,1,0,0,0,0,0,0,0,0
three shifts start next part tutorship response enjoyingthelastfewdays excited newchallanges,"['enjoyingthelastfewdays', 'excited', 'newchallanges']",0,0,0,0,1,0,1,0,0,0,0
thread brit freaking minor cultural differences indignation would cuter without imperialist undertones,[],1,1,1,0,0,0,0,0,1,0,0
new favourite film shadow doubt okja beautifull funny sad emotional real netflix mustwatch,"['film', 'Okja', 'beautifull', 'funny', 'sad', 'emotional', 'real', 'Netflix', 'MUSTWATCH', 'now']",0,0,0,0,1,1,0,0,0,0,0
chelstondsouza conte furious board wants quits,[],1,0,1,0,0,0,0,0,0,0,0
wdapunisher sgtdangercow battlefield think \ncasual audience particularly unhappy server admins server rules,[],1,0,1,0,0,0,0,1,1,0,0
okay seriously know whole twitter thing works lost,['lost'],0,0,1,0,0,0,0,1,1,0,0
anyways apologized amp hav rly bad anxiety guys wanted get amp start errands amp uber everywhere,[],0,0,0,1,0,0,0,0,0,0,0
three retweets dumb fox shit one original tweet blatant lie scrotus morning nada wretched offspring rollingonthefloorlaughing,[],1,0,1,0,0,0,0,0,0,0,0
lizyank comparison makes happy flattered engl678mu,"['flattered', 'engl678mu']",0,0,0,0,1,1,1,0,0,0,0
afraid one one scares funk yall thought image one mans army,[],1,0,1,0,0,0,0,0,0,0,0
wonderful boy garden grew wisdom stature favour god men literally parents\n vss365,"['wonderful', 'VSS365']",0,0,0,0,1,1,1,0,0,0,0
jadeodette one wrong want believe amp haha upsidedownface,[],0,0,0,0,1,0,0,0,0,0,0
lala loving book the power playit serious game changer nothing else dreaming big land amongst stars shootingstar,[],0,1,0,0,1,1,1,0,0,0,0
invacarecorp provided tremendous support 2017 cewha nationals one conn smyth sponsors 2017nationals ottawa,"['2017Nationals', 'Ottawa']",0,0,0,0,1,0,1,0,0,0,0
